"name","code","year","forecast","B","b","C","c","d","σ","α_B","α_b","α_C","α_c","α_d","α_σ","LE","H","h","Lstar_99p9","Lstar_99","Lstar_95","Lstar_90","Lmed"
"Switzerland","CHE",2008,0,2.34923372665321,2.86124897570149,88.9388916404492,0.109335684862365,8.6449252608055e-05,0.0559193951403043,-0.0333341291279818,0.0560495983225538,0.00702164856220558,0.0175390581716729,-0.12816054869098,0.0105926939726065,83.2544264976645,0.113769214160391,2.17358331972189,106.599380525984,102.885121278014,98.9445787093907,96.5332707651952,85.4721116399626
"Switzerland","CHE",2013,0,2.26821941836892,3.03657041674897,89.512320838212,0.111883322187286,7.66063330647864e-05,0.0547093735448443,-0.0343443543978307,0.055778844451025,0.00668701679253954,0.0189906711318361,-0.123830646489678,0.00848312228212435,83.9939778146795,0.109893733067474,2.20824144315301,106.774230053339,103.145276712197,99.2921879767801,96.9337368772519,86.1394720473823
"Switzerland","CHE",2018,1,2.18378488591799,3.20354186218923,90.0209251207321,0.11389425164015,7.617541173811e-05,0.0544421424449717,-0.0347441278111957,0.0555487456436579,0.00647804303560926,0.0186065295623709,-0.120398296251275,0.00766708777364049,84.6015027048332,0.107190473281951,2.23314790293314,106.974602304946,103.412870727304,99.63141267337,97.3162618164483,86.7115981110688
"Switzerland","CHE",2023,1,2.1072889011807,3.38617344789203,90.6029573350852,0.116048567664356,6.73067170589423e-05,0.054772755589056,-0.034404509610044,0.0555457582313136,0.00646661522693279,0.0183175514798919,-0.119862342756103,0.00786512343115249,85.3051662205282,0.104124656862258,2.26216647394106,107.247451657669,103.749160661999,100.036520297765,97.7636136102974,87.3592853063578
"Switzerland","CHE",2028,1,2.03710334918125,3.57854272590422,91.1937847650053,0.118208906103019,5.956934440568e-05,0.0551288339640229,-0.0343557053716829,0.0553568576117593,0.00644410136118075,0.0182185130022603,-0.119340040969724,0.00806850132856617,86.005161398063,0.101236246622647,2.29029841804779,107.546899073429,104.112259273981,100.464399931861,98.2276342607193,88.0137355033642
"Switzerland","CHE",2033,1,1.9700073563339,3.78114309534802,91.7631582851997,0.120382225045452,5.27126824372221e-05,0.0553660987613146,-0.0340862447426529,0.0553034464621754,0.00644947678462335,0.0181923018016867,-0.119070188360768,0.00809459071327766,86.6863899676163,0.0985183671203538,2.31751227996022,107.839691543874,104.461929897375,100.879067330783,98.6838210867256,88.6529358064293
"Switzerland","CHE",2038,1,1.90472392144604,3.9923536096012,92.3543552470591,0.122528006134715,4.65899696389712e-05,0.055783706116117,-0.0340579344670982,0.0553618019744964,0.0064779627552293,0.018055381261855,-0.119108134421694,0.00818112882937627,87.3723485126895,0.0959453397465435,2.34397662731155,108.169580909779,104.843998399191,101.320198721858,99.1648082791167,89.2990041329532
"Switzerland","CHE",2043,1,1.84213662191767,4.21656046621344,92.9556163986664,0.124801737956098,4.14444820848715e-05,0.0561516535333845,-0.0338065653905057,0.0553182182120151,0.00646041561760576,0.0180801313022423,-0.11838336181297,0.0081771201758901,88.0587624590629,0.0934784969990772,2.37002384775613,108.486043516037,105.2212396636,101.759992332101,99.6443523186277,89.9520408720341
"Switzerland","CHE",2048,1,1.78005866265083,4.45869139460572,93.5637495060191,0.127075472232168,3.68249481077944e-05,0.0564688290327554,-0.0336938285831477,0.0552470461707484,0.00649305407552337,0.018133155084883,-0.118127593479521,0.00834092195889667,88.7417469188929,0.0911623066718855,2.39511377141034,108.831126140166,105.625589426216,102.218970692439,100.136277852197,90.6141946886261
"Chile","CHL",1993,0,2.63617787192737,2.00854816813354,85.492175676211,0.0959900182132183,0.00017837093930914,0.0211926916808286,NA,NA,NA,NA,NA,NA,78.5312675627752,0.142138650698843,1.95095228439878,105.585566999403,101.349776835755,96.8450535824559,94.0836480842716,81.3804882899701
"Chile","CHL",1998,0,2.63004173661103,2.1453792545445,86.1615050878988,0.0984429098027221,0.000171985277588727,0.0217213217439338,-0.0101747013302338,0.0293021420378902,0.00671794024985581,0.0139913463994922,-0.0213220963248472,0.00947909850710527,79.4673216780635,0.136028856189153,1.99488823789316,105.765291088455,101.631114012812,97.2398936236777,94.5474980056968,82.1792242128178
"Chile","CHL",2003,0,2.55476645565832,2.26175249030961,87.1350214868528,0.0993958241198776,0.000160231567973695,0.0215190599560825,-0.0204575112813711,0.0400283984843039,0.00698091070419234,0.0128636961601514,-0.0315547608541197,0.0136175593147506,80.5552767602115,0.132463540703334,2.02144783592377,106.549063686767,102.458325270908,98.1121940001514,95.4464196953485,83.2108568664937
"Chile","CHL",2008,0,2.45635990578424,2.43899971093123,87.6049179973855,0.099707397771589,0.000152347067856871,0.0221228899774657,-0.0266882202189084,0.0461863150046061,0.00516428045239459,0.0129467979393528,-0.0336995404153205,0.0212975273094969,81.1082328581359,0.130510147402848,2.03630429736904,106.960119107508,102.881592785129,98.5497735431367,95.8930609539693,83.7080186918604
"Chile","CHL",2013,0,2.35502316196449,2.61068377349268,87.8723321259359,0.102072404437281,0.000145875323210259,0.0234723397446949,-0.0302136945266115,0.0481439140507015,0.00363571813757567,0.0168454648494927,-0.0329523241198408,0.0295488515048886,81.5459079992126,0.126585124377116,2.06684027716969,106.781332127926,102.799009484583,98.5660273413004,95.974411166188,84.0760596068647
