"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"BGR","Bulgaria","(1945,1950]",1948,106,0.411785,0.4102925,0.412875,0.000465,0.0005825,0.0003675,2.305,2.3225,2.3,20.885,9.915,10.97,0,1
"BGR","Bulgaria","(1945,1950]",1948,107,0.4270925,0.425735,0.427885,0.0003075,0.000385,0.000245,2.2425,2.26,2.2375,14.5875,6.8625,7.725,0,1
"BGR","Bulgaria","(1945,1950]",1948,108,0.44254,0.44132,0.4430275,2e-04,0.000255,0.0001575,2.1875,2.1975,2.1825,9.9825,4.5925,5.39,0,1
"BGR","Bulgaria","(1945,1950]",1948,109,0.4581075,0.4570125,0.45828,0.00013,0.000165,0.000105,2.1425,2.155,2.14,6.48,2.9,3.58,0,1
"BGR","Bulgaria","(1950,1955]",1953,89,0.199008,0.188764,0.210882,0.070742,0.082254,0.059726,4.186,4.288,4.07,2195.226,1026.242,1168.984,0,1
"BGR","Bulgaria","(1950,1955]",1953,92,0.23272,0.227088,0.23963,0.037206,0.043636,0.031072,3.722,3.844,3.586,1201.094,559.128,641.966,0,1
"BGR","Bulgaria","(1950,1955]",1953,93,0.240148,0.230684,0.251102,0.029558,0.03497,0.024436,3.562,3.69,3.428,894.906,420.37,474.536,0,1
"BGR","Bulgaria","(1950,1955]",1953,94,0.254356,0.242612,0.268308,0.023306,0.027852,0.019044,3.398,3.518,3.264,763.966,341.728,422.238,0,1
"BGR","Bulgaria","(1950,1955]",1953,95,0.273726,0.263732,0.285452,0.018118,0.021924,0.014588,3.24,3.35,3.116,480.4,219.75,260.65,0,1
"BGR","Bulgaria","(1950,1955]",1953,96,0.287796,0.27723,0.300394,0.0138,0.016874,0.010978,3.106,3.214,2.988,386.408,177.072,209.336,0,1
"BGR","Bulgaria","(1950,1955]",1953,97,0.302276,0.291154,0.315772,0.010364,0.012816,0.008138,2.98,3.082,2.862,292.24,131.692,160.548,0,1
"BGR","Bulgaria","(1950,1955]",1953,98,0.31714,0.305476,0.331564,0.00767,0.009596,0.00594,2.862,2.96,2.744,230.776,106.152,124.624,0,1
"BGR","Bulgaria","(1950,1955]",1953,99,0.33237,0.320188,0.347744,0.005588,0.007086,0.004266,2.75,2.844,2.636,160.942,75.268,85.674,0,1
"BGR","Bulgaria","(1950,1955]",1953,100,0.347934,0.33526,0.364284,0.00401,0.005154,0.003012,2.644,2.734,2.534,139.148,64.802,74.346,0,1
"BGR","Bulgaria","(1950,1955]",1953,101,0.363816,0.35068,0.381152,0.002836,0.003694,0.002096,2.544,2.63,2.436,94.068,42.614,51.454,0,1
"BGR","Bulgaria","(1950,1955]",1953,102,0.379972,0.366414,0.39831,0.001972,0.002608,0.001432,2.45,2.532,2.344,66.894,29.33,37.564,0,1
"BGR","Bulgaria","(1950,1955]",1953,103,0.39637,0.382434,0.415718,0.001346,0.001812,0.00096,2.362,2.444,2.26,47.044,20.278,26.766,0,1
"BGR","Bulgaria","(1950,1955]",1953,104,0.412984,0.398716,0.433334,0.000908,0.001238,0.000636,2.282,2.356,2.18,31.35,13.764,17.586,0,1
"BGR","Bulgaria","(1950,1955]",1953,105,0.42977,0.415218,0.451122,6e-04,0.000834,0.00041,2.204,2.274,2.104,18.104,7.912,10.192,0,1
"BGR","Bulgaria","(1950,1955]",1953,106,0.44669,0.431908,0.469026,0.000392,0.00055,0.000262,2.134,2.204,2.036,12.106,5.39,6.716,0,1
"BGR","Bulgaria","(1950,1955]",1953,107,0.463706,0.448752,0.48701,0.00025,0.00036,0.000164,2.07,2.136,1.974,7.374,3.422,3.952,0,1
"BGR","Bulgaria","(1950,1955]",1953,108,0.480774,0.46571,0.505026,0.000158,0.00023,9.8e-05,2.012,2.078,1.922,4.318,2.122,2.196,0,1
"BGR","Bulgaria","(1950,1955]",1953,109,0.49786,0.48274,0.523018,9.6e-05,0.000144,6e-05,1.974,2.036,1.88,2.36,1.268,1.092,0,1
"BLR","Belarus","(1955,1960]",1958,51,0.004735,0.00314,0.0072,0.860215,0.889275,0.82245,27.135,28.85,24.515,83164.92,33114.465,50050.455,0,1
